,Sum,First_partial,Second_partial,Third_partial,Fourth_partial,Drawdown
0,66.32,50.0,0.0,0.0,0.0,-7.06
1,67.71,50.0,50.0,0.0,0.0,-7.0
2,68.88,50.0,0.0,0.0,50.0,-7.06
3,68.99,50.0,50.0,0.0,50.0,-7.0
4,70.39,50.0,50.0,50.0,0.0,-7.0
5,71.03,50.0,50.0,50.0,50.0,-7.0
6,71.68,50.0,0.0,50.0,0.0,-7.06
7,72.96,50.0,0.0,50.0,50.0,-7.06
8,89.53,0.0,0.0,0.0,0.0,-8.07
9,92.31,0.0,50.0,0.0,0.0,-7.23
10,94.66,0.0,0.0,0.0,50.0,-8.07
11,94.88,0.0,50.0,0.0,50.0,-7.23
12,97.68,0.0,50.0,50.0,0.0,-7.23
13,98.96,0.0,50.0,50.0,50.0,-7.23
14,100.26,0.0,0.0,50.0,0.0,-8.07
15,102.82,0.0,0.0,50.0,50.0,-8.07
